"","accuracy","heading","latitude","longitude","speed","timestamp"
"110",10,92,39.988342,-83.0362613,0.75,1516231921
"111",10,75,39.9883478,-83.0362576,0.96,1516231922
"112",10,67,39.9883568,-83.0362571,0.74,1516231923
"113",9,93,39.9883635,-83.0362604,0.26,1516231924
"114",9,94,39.9883663,-83.0362642,0.33,1516231925
"115",9,163,39.9883644,-83.0362704,0.68,1516231926
"116",8,236,39.9883629,-83.0362829,0.78,1516231927
"117",8,248,39.9883611,-83.0363005,0.66,1516231928
"118",8,259,39.9883597,-83.0363132,0.41,1516231929
"119",7,249,39.9883583,-83.0363201,0.41,1516231930
"120",6,239,39.9883575,-83.0363303,0.33,1516231931
"121",7,208,39.9883554,-83.0363332,0.4,1516231932
"122",7,172,39.9883486,-83.0363318,0.56,1516231933
"123",6,181,39.988342,-83.036328,0.38,1516231934
"124",5,255,39.9883416,-83.0363322,0.88,1516231935
"125",5,305,39.9883439,-83.0363389,0.47,1516231936
"126",5,0,39.9883485,-83.0363374,0,1516231937
"127",5,0,39.988354,-83.0363222,0,1516231938
"128",5,0,39.9883573,-83.0363167,0,1516231939
"129",4,0,39.9883598,-83.0363144,0,1516231940
"130",4,0,39.9883598,-83.0363099,0,1516231941
"131",3.9,0,39.9883603,-83.0363069,0,1516231942
"132",3.9,0,39.9883632,-83.0363106,0,1516231943
"133",3.9,0,39.9883636,-83.036308,0,1516231944
"134",4,0,39.9883639,-83.0363066,0,1516231945
"135",4,0,39.9883637,-83.036305,0,1516231946
"136",4,0,39.988364,-83.0363,0,1516231947
"137",4,96,39.9883562,-83.036223,5.46,1516231948
"138",4,94,39.9883663,-83.0361927,2.75,1516231949
"139",4,82,39.9883789,-83.0361326,4.48,1516231950
"140",6,93,39.9883705,-83.0360697,4.48,1516231951
"141",4,94,39.9883411,-83.03592,9.97,1516231952
"142",4,93,39.9883237,-83.0358203,7.94,1516231953
"143",4,93,39.9883145,-83.0357329,7.69,1516231954
"144",3.9,93,39.9883159,-83.0356396,8.1,1516231955
"145",3,93,39.9883088,-83.0355545,6.99,1516231956
"146",3,93,39.988315,-83.035489,5,1516231957
